26/07/2018,"-6.40","CONELENI PTY LTD   QPS   ADELAIDE",""
26/07/2018,"-13.71","FLAGSTAFF HILL FOODQPS   FLAGSTAFF HI",""
25/07/2018,"-3.00","132 EDINBURGH SA         EDINBURGH   SA",""
25/07/2018,"-6.40","CONELENI PTY LTD   QPS   ADELAIDE",""
24/07/2018,"-33.89","AMAZON MKTPLC AU         SYDNEY SOUTHNSW",""
24/07/2018,"-4.00","132 EDINBURGH SA         EDINBURGH   SA",""
24/07/2018,"-2.90","132 EDINBURGH SA         EDINBURGH   SA",""
24/07/2018,"+100.00","PAYMENT RECEIVED, THANK YOU",""
24/07/2018,"-44.91","LIBERTY MARION           MARION",""
24/07/2018,"-3.80","CONELENI PTY LTD   QPS   ADELAIDE",""
24/07/2018,"-20.00","ADELAIDE METRO           ADELAIDE",""
24/07/2018,"-72.92","COMMONWEALTH INSURANCE   SYDNEY OLYMP",""
23/07/2018,"-3.50","132 EDINBURGH SA         EDINBURGH   SA",""
23/07/2018,"-2.90","132 EDINBURGH SA         EDINBURGH   SA",""
23/07/2018,"+150.00","PAYMENT RECEIVED, THANK YOU",""
23/07/2018,"-3.80","CONELENI PTY LTD   QPS   ADELAIDE",""
22/07/2018,"-30.55","SUPER CHEAP AUTO         DARLINGTON  SA",""
22/07/2018,"-45.06","LIBERTY MARION           MARION",""
22/07/2018,"-31.14","FLAGSTAFF HILL FOODQPS   FLAGSTAFF HI",""
22/07/2018,"-95.00","CITY OF ONKAPARINGA      NOARLUNGA CE",""
21/07/2018,"-61.00","CHAPATI HOUSE 2 PL       BLACK FORESTSA",""
21/07/2018,"-213.48","COLES 4942               ABERFOYLE PRAUS",""
21/07/2018,"-24.00","BWS LIQUOR W5745         EDWARDSTOWN",""
20/07/2018,"-11.90","MCDONALDS CROSS ROADS    KINGS PARK",""
20/07/2018,"-68.00","CROWN INN                REYNELLA    SA",""
20/07/2018,"-9.40","SUBWAY ABERFOYLE PAR     ABERFOYLE PASA",""
20/07/2018,"-62.25","AFTERPAY PTY LTD         MELBOURNE   VIC",""
20/07/2018,"-44.74","PASADENA FOODLAND        PASADENA    SA",""
20/07/2018,"-4.50","132 EDINBURGH SA         EDINBURGH   SA",""
20/07/2018,"-50.00","CALTEX WESTBOURNE PA     WESTBOURNE P",""
20/07/2018,"-3.80","CONELENI PTY LTD   QPS   ADELAIDE",""
20/07/2018,"-5.50","STOCKWELL HOUSE PTYQPS   ADELAIDE",""
20/07/2018,"-20.00","ADELAIDE METRO           ADELAIDE",""
20/07/2018,"-43.43","COMMONWEALTH INSURANCE   SYDNEY OLYMP",""
19/07/2018,"-44.65","BP AMPM EDWARDSTOWN 91   EDWARDSTOWN SA",""
19/07/2018,"-5.00","132 EDINBURGH SA         EDINBURGH   SA",""
