Starting balance is $4000.0
15 Dec Buddabah 567 Collins S Melbourne MasterCard 3.5 4003.50
15 Dec Payment Received, Thank You MasterCard 3,000.00 1003.50
15 Dec Coles 0419 Park Holme MasterCard 22.0 1025.50
15 Dec Bunnings Warehouse 6426 Bbrunswick American Express 9.1 1034.65
15 Dec Bunnings Warehouse 6426 Bbrunswick American Express 18.5 1053.15
15 Dec Oli & Levi At Galleri Melbourne MasterCard 12.0 1065.15
15 Dec Bambini Brewed Bourne VIC MasterCard 4.0 1069.15
16 Dec Flagstaff Hill Foodqps Flagstaff Hil MasterCard 20.5 1089.73
16 Dec Caltex Taliem Bend Qps Tailem Bend MasterCard 7.5 1097.23
16 Dec Waacks Bakery Ararat MasterCard 8.8 1106.03
16 Dec Shell Stawell Stawell MasterCard 41.2 1147.23
16 Dec Cellarbrations At Flag Flagstaff Hil MasterCard 18.0 1165.23
16 Dec The Reject Shop Aust Ararat MasterCard 11.0 1176.23
16 Dec BP Rdhse Kith 5302 Keith MasterCard 49.2 1225.52
17 Dec Chemist King Coloneqps Colonel Light MasterCard 15.9 1241.50
17 Dec Big W W0553 Oaklands Park MasterCard 5.0 1246.50
17 Dec Target 5127 Marion MasterCard 76.7 1323.20
17 Dec Mitre 10 Aberfoyle Park Aberfoyle Par American Express 112.8 1436.08
17 Dec Woolworths 5661 Aberfoyleaberfoyle Par American Express 36.8 1472.92
17 Dec Ww Petrol 5504 West Richmwest Richmond American Express 38.8 1511.75
17 Dec Riot Art & Craft5055 Oaklands Park MasterCard 16.1 1527.88
17 Dec Fudd's Rfoyle Parsa MasterCard 54.5 1582.38
17 Dec Supercuts Onel Lightsa MasterCard 76.0 1658.38
18 Dec Big W W0553 Oaklands Park MasterCard 36.2 1694.63
18 Dec Calendar Club Aus Pty Oaklands Park MasterCard 19.9 1714.61
18 Dec Kmart Marion 1151 Oakland Park American Express 23.0 1737.61
18 Dec Bunnings Marian 5095 Marion American Express 67.7 1805.32
18 Dec JB Hi Fi Oaklands Park MasterCard 138.0 1943.32
18 Dec Cibo Espresso Marion Oaklands Park American Express 12.7 1956.02
18 Dec Nespresso Pop-Up 3 North Sydney American Express 29.2 1985.22
18 Dec United Discount Chemists Oaklands Park American Express 11.5 1996.80
18 Dec Charlesworth Nuts Lands Parksa MasterCard 14.4 2011.20
18 Dec Panacea Marion Oaklands Park MasterCard 38.5 2049.70
19 Dec Lighthouse Books and Allenby Garde MasterCard 55.9 2105.67
19 Dec Lighthouse Books and Allenby Garde MasterCard 54.0 2159.71
19 Dec Lighthouse Books and Allenby Garde MasterCard 97.9 2257.64
19 Dec Coles 0419 Park Holme MasterCard 37.3 2295.03
19 Dec Coles 4942 Aberfoyle Prk MasterCard 52.2 2347.24
19 Dec Scorpion Technology Clayton MasterCard 363.3 2710.61
19 Dec Knmn Pty Ltd Woodville MasterCard 50.0 2760.61
19 Dec Panacea Marion Oaklands Park MasterCard 27.8 2788.41
20 Dec Commonwealth Insurance Sydney Olympi MasterCard 46.2 2834.65
20 Dec Ptag Erskine and Wellingtklands Park MasterCard 33.0 2867.65
20 Dec Ww Petrol 5529 Ohalloran Ohalloran Hil American Express 77.5 2945.21
20 Dec Kmart Marion 1151 Oakland Park American Express 35.1 2980.36
20 Dec Cibo Expresso Marion Oaklands Park MasterCard 7.8 2988.16
20 Dec Priceline Marion Oaklands Park American Express 21.9 3010.15
20 Dec SA Chargrill Chickens Hallett Cove MasterCard 39.3 3049.45
21 Dec Australian Tourist Man Victor Harbor MasterCard 575.0 3624.45
21 Dec Woolworths W5653 Victor Harbor MasterCard 70.4 3694.89
21 Dec Hotel Crown Victor Harbor MasterCard 16.9 3711.87
21 Dec Liquorland 3026 Victor Harbor MasterCard 15.0 3726.87
21 Dec Ninos Victor Harbor Victor Harbor MasterCard 96.5 3823.37
21 Dec BP O Halloran Hill O Halloran Hi American Express 38.7 3862.13
22 Dec Ptag Iga Victor Harbour Victor Harbor MasterCard 15.1 3877.31
22 Dec Big W W0549 Victor Harbor MasterCard 51.9 3929.26
22 Dec Woolworths W5653 Victor Harbor MasterCard 10.0 3939.26
22 Dec Optus Prepaid Melb Melbourne MasterCard 26.0 3965.26
23 Dec Big W W0549 Victor Harbor MasterCard 25.0 3990.26
23 Dec Woolworths W5653 Victor Harbor MasterCard 17.5 4007.84
23 Dec Anchorage Hotel Victor Harbor MasterCard 22.8 4030.64
23 Dec The Chicken Run Pty Lt Port Elliot MasterCard 36.0 4066.64
23 Dec BP Wayville 0092 Wayville American Express 55.7 4122.35
24 Dec Coles 0458 Oaklands Park MasterCard 124.6 4246.97
24 Dec Cellarbrations At Flag Flagstaff Hil MasterCard 56.9 4303.95
24 Dec Wilson Parking Ade061 Adelaide MasterCard 5.0 4308.95
24 Dec Netflix Com Melbourne MasterCard 11.9 4320.94
26 Dec Event Marion Oaklands Park MasterCard 61.2 4382.14
26 Dec Event Cinemas Marion Oaklands Park MasterCard 9.6 4391.74
26 Dec Event Cinemas Marion Oaklands Park MasterCard 17.9 4409.64
26 Dec Hj Darlington Darlington MasterCard 31.2 4440.84
27 Dec Playstationnetwork Internet## GBR MERCHANTMasterCard 44.8 4485.71
27 Dec Otr Marion St 7231 Marion MasterCard 40.1 4525.87
27 Dec Apple Itunes Store Sydney MasterCard 1.4 4527.36
27 Dec JB Hi Fi Oaklands Park MasterCard 54.00 4473.36
27 Dec Intnl Transaction Fee MasterCard 1.3 4474.71
28 Dec Flagstaff Hill Foodl Flagstaff Hil MasterCard 35.1 4509.82
